time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,192,83.6770833333,8033.0,2,0.998747297936,2,0.998747297936,3,0.944960853752,3,0.919867796008,0.219297308132,10975.7916667
20,8976,978.332442068,34572.8818898,254,0.995191669222,2,0.080970339375,8232,0.990044645417,8230,0.989908417529,0,13578.5263158
30,18943,989.614738954,73804.2204724,254,0.998360294455,2,0.0435047662401,16277,0.991815646956,16260,0.99186391349,0,13585.2631579
40,18929,989.618046384,73749.9212598,254,0.998394805023,2,0.0435318591161,16319,0.992042810105,16329,0.99191781125,0,13585.2631579
50,18902,990.017987515,73674.488189,254,0.998468012652,2,0.0435842123315,16304,0.992022208482,16314,0.991991550017,0,13585.2631579
60,18542,989.451839068,72229.984252,254,0.998358672354,2,0.0442954362096,16017,0.9919643774,16008,0.991908495832,0,13585.2631579
70,18713,989.281034575,72883.5275591,254,0.998191753932,2,0.0439545143451,16128,0.991902786308,16149,0.991976178863,0,13585.2631579
80,18689,989.807480336,72828.7874016,254,0.998265164485,2,0.0440020220835,16132,0.992021359685,16109,0.99192690303,0,13585.2631579
90,18739,990.572816052,73080.0944882,254,0.998432843837,2,0.0401713957679,16155,0.992390705358,16152,0.99226769879,0,13563.5294118
100,18684,988.011560694,72677.1968504,254,0.998354038055,2,0.0456516136063,16073,0.99168953252,16042,0.991627914751,0,13576.969697
110,18654,989.754905114,72688.5354331,254,0.998305803224,2,0.0424158646077,16103,0.992145439703,16076,0.99205197421,0,13594.2857143
120,18633,986.088391563,72337.7362205,254,0.997858170533,2,0.0569162880019,16075,0.990774274591,16030,0.990607182903,0.105591036375,12660.5517241
130,18927,985.429069583,73429.984252,254,0.997804738465,2,0.0584711452303,16145,0.990373376914,16263,0.99041869757,0,13563.7174721
140,18817,984.897061168,72963.8110236,254,0.99785173231,2,0.0595185499877,16097,0.990266275833,16171,0.990284596207,0,13592.7272727
150,18849,984.485118574,73057.3228346,254,0.997566258662,2,0.060951309148,16238,0.990261826322,16089,0.989913305242,0,13599.7183099
160,18841,984.917573377,73058.3937008,254,0.997669770662,2,0.0605943542536,16139,0.990052201303,16131,0.990044893946,0,13614.2756184
170,18828,985.66517952,73063.4015748,254,0.997761190269,2,0.0575784947907,16187,0.990624908182,16172,0.990382654093,0,13628.3146067
180,18771,984.792712162,72777.7322835,254,0.99751852783,2,0.0615407324889,16147,0.990168747956,16098,0.990026030196,0,13572.2535211
190,18753,985.025969178,72725.1653543,254,0.997810364964,2,0.0604501667441,16159,0.990443830283,16086,0.9902947873,0,13536.0
200,18866,984.669988339,73136.9448819,254,0.99764607056,2,0.0620364186143,16148,0.990058179693,16131,0.989833944658,0,13530.5263158
210,18842,985.812121855,73128.6299213,254,0.99791287237,2,0.0575428505769,16142,0.990566348265,16192,0.990536610936,0,13544.3678161
220,18814,984.93845009,72955.2440945,254,0.997753655068,2,0.0602871588596,16051,0.989980330759,16178,0.99017787229,0,13615.9430605
230,18742,984.825952406,72667.7480315,254,0.997490983821,2,0.0623770638765,16065,0.989985766975,16148,0.99004986681,0,13582.4221453
240,18726,984.800170885,72603.8110236,254,0.997773173784,2,0.0620427245415,16060,0.990044041943,16080,0.990007610943,0,13557.8947368
250,18838,984.438263085,73011.2125984,254,0.997603185087,2,0.0621129866469,16195,0.990063566485,16172,0.989892213596,0,13569.5833333
260,18851,984.085300515,73035.4015748,254,0.997483607928,2,0.0620774118136,16174,0.990004452616,16196,0.990080651437,0,13556.6550523
270,18938,985.079311437,73446.5826772,254,0.997771150351,2,0.060713123559,16265,0.990224883725,16272,0.990249391325,0,13547.1428571
280,18832,985.071792693,73034.9291339,254,0.997776405251,2,0.060239239467,16191,0.990321297279,16087,0.990063497299,0,13563.032491
290,18833,984.663091382,73008.503937,254,0.997678490201,2,0.0613723594129,16201,0.990276899784,16222,0.990194285749,0,13545.9574468
300,18880,984.965677966,73213.1968504,254,0.997653752053,2,0.0627487910767,16252,0.990068967416,16136,0.989821824357,0,13554.2268041
310,18852,984.889879058,73098.992126,254,0.997549953676,2,0.0613209602998,16221,0.990327085885,16115,0.990066567027,0,13532.6690391
320,18797,984.546895781,72860.3464567,254,0.997951229991,2,0.061848022463,16094,0.990023070079,16135,0.990041454194,0,13583.8327526
330,18770,984.212679808,72730.992126,254,0.997568460434,2,0.0626771084112,16086,0.990008533214,16070,0.989895664542,0,13542.5
340,18808,984.61846023,72908.2834646,254,0.997624857791,2,0.0625719622725,16162,0.99012293036,16175,0.990001428036,0,13542.5
350,18751,984.399765346,72671.1811024,254,0.997458527749,2,0.0623522035592,16023,0.989856268956,16082,0.989969875402,0,13556.6550523
360,18893,984.472555973,73226.9291339,254,0.997736918779,2,0.0623381415492,16280,0.990183303854,16153,0.989700638615,0,13542.5
370,18837,985.311886181,73072.1259843,254,0.997810464116,2,0.0598462510625,16218,0.990291239341,16146,0.990110877431,0,13591.1913357
380,18991,984.912010953,73639.6220472,254,0.997734896426,2,0.0613226893293,16219,0.989977579254,16240,0.989974365665,0,13557.8947368
390,18826,985.406140444,73036.4409449,254,0.997802495785,2,0.0602552034513,16134,0.990233244313,16092,0.990137463606,0,13563.032491
400,18865,984.785369732,73141.6377953,254,0.997761599978,2,0.0609083404732,16133,0.989982227388,16245,0.990240889624,0,13599.7183099
410,18883,985.382831118,73255.8425197,254,0.997841534874,2,0.0601039136456,16108,0.990203425321,16205,0.990352037809,0,13536.0
420,10585,963.089938592,40135.0669291,254,0.990624074101,2,0.131402976894,9433,0.982801277855,9397,0.98216924257,0.174371452922,12185.9514563
430,811,70.4340320592,28561.0,2,0.998498044584,2,0.998498044584,9,0.80831517848,9,0.765147327136,0.0738753903889,12767.1418002
440,200,66.96,6696.0,2,0.998195879043,2,0.998195879043,9,0.807523667332,9,0.760695124865,0,13575.0
450,1,0.0,0.0,1,0,1,0,1,0,1,0,0,1460.0
